12	9924	21
852	7435	1
414	9162	15
2181	1520	19
17037	7099	1
102	2313	8
877	9335	20
1834	8549	18
103	6058	11
2316	9861	20
17	347	21
10390	4619	1
1467	4164	9
1383	9723	0
22548	3835	6
103	9705	26
1775	4131	3
8177	1259	6
105	6116	17
101	1220	12
657	5650	6
1358	7950	17
124	5690	3
14	3784	25
135	8534	7
105	8943	20
23377	7344	2
38017	8902	5
175	5337	7
25146	8682	27
2330	9855	2
106	7825	4
911	7416	3
12	1577	16
5629	6294	0
117	4107	8
166	9377	7
1431	4832	3
5793	8968	14
21201	386	1
22071	4794	0
12	2851	11
107	4542	15
7544	3034	12
910	2356	31
110	8350	11
103	8865	14
116	5352	5
101	3718	3
23667	7226	5
16	6295	10
110	2609	1
10044	5640	9
19666	4525	7
105	7455	37
299	6998	7
6017	9236	1
1105	3147	11
179	2882	18
1203	1180	12
1099	2447	10
5045	5234	4
370	7194	25
106	5204	9
106	8829	16
15953	1158	1
2450	2881	3
141	3887	9
108	3318	8
101	6030	16
101	7009	23
107	470	15
537	3681	13
371	4559	4
10941	1559	2
127	1949	3
10126	4962	0
36275	9876	9
3565	4536	15
11974	6798	31
118	2854	11
208	2470	5
62	5878	16
853	9602	14
208	4846	20
211	2757	16
3067	5002	4
4337	636	12
270	7128	17
11477	4475	4
20563	2145	4
805	6100	7
117	5216	20
115	2189	18
2195	7782	15
1216	4862	9
158	9276	16
5940	5618	16
110	6302	1
150	2482	8
305	1766	5
774	7179	0
129	5677	9
103	2760	16
6418	1842	2
548	1403	6
188	2076	17
128	6822	8
104	5099	11
12	8879	9
35436	4921	16
4230	7949	3
103	6368	18
3815	5102	18
120	9515	5
108	1269	17
14	3563	17
285	2599	10
125	6876	12
161	9233	3
111	6160	11
846	2084	4
1694	8070	3
12	9611	7
2935	5035	22
134	7768	31
1068	1064	12
7430	2678	4
12	4679	2
142	34	2
215	3104	12
2	4788	0
1833	8207	16
3588	2671	6
101	3854	17
545	2388	17
641	619	1
210	9224	14
340	6694	14
3232	7776	15
275	7961	28
720	548	16
108	6297	14
1347	9592	11
14	4487	14
114	8355	30
572	6884	4
1061	7065	5
107	6898	4
85	5293	4
144	3525	26
348	3647	7
7431	9574	36
154	5821	2
140	4576	16
12	2731	25
6938	9646	17
62	3987	13
1299	8955	11
1335	2103	11
167	517	1
367	666	14
25226	9634	24
106	3952	2
8037	9812	2
319	8457	25
105	1319	11
2341	4494	18
2042	4563	17
13422	3588	22
26127	2912	6
402	1496	22
118	2315	7
765	5620	11
4	1733	4
26899	616	10
243	7866	5
104	8040	22
12	3655	7
35963	5916	4
2856	3839	2
119	7588	17
136	87	22
13530	1635	3
771	3875	1
839	3769	5
36459	4604	4
35121	5470	4
1023	3197	9
8459	2889	23
8348	5613	18
12554	9050	10
12019	3060	3
834	4343	5
14	8871	21
102	5127	9
242	1139	14
104	1924	13
12	7073	7
3131	6969	6
102	9221	14
35457	7020	9
35658	3986	27
6871	1552	23
6129	5371	12
101	6603	25
276	5808	23
131	4133	3
210	719	1
101	5313	2
327	1724	14
1962	5413	15
1769	2846	5
29996	5973	5
334	1382	23
142	5863	10
1181	5581	13
101	7050	15
124	8476	10
22508	8625	5
101	295	2
8410	7328	4
25337	347	19
10910	8437	1
645	8576	3
35570	6927	9
210	8421	4
13220	9643	25
176	2207	4
169	7726	12
1837	996	18
11031	4815	5
28163	5405	10
29149	168	20
5649	6671	0
57	7632	17
117	3744	23
14	5873	35
36571	3742	10
1751	9786	16
168	8715	0
3835	6795	2
121	9398	17
12874	934	2
1244	3477	16
396	9016	5
16881	6583	2
17262	8077	14
106	7356	8
8187	9226	11
1497	4309	3
120	6344	1
291	8135	17
12	6851	25
20337	3076	0
196	1411	1
222	5911	26
5936	3816	21
115	839	15
216	8910	6
4767	3874	4
145	1317	7
7	2592	39
214	2955	28
1402	9590	18
105	2092	4
137	9304	10
103	1833	19
145	9387	8
246	4582	2
1737	2795	10
101	8239	27
14	840	21
362	5610	8
137	1237	20
108	4382	4
8825	2831	4
12	3175	30
1171	6673	13
2640	7570	1
3196	3782	13
108	7341	36
122	9681	6
477	3733	22
104	2826	5
1751	1270	24
12	7182	10
12	7104	8
169	8867	23
104	7341	19
627	3744	20
35079	8206	11
8101	9184	14
14	2600	6
143	9070	4
14	5806	21
120	4879	9
118	4352	5
13359	3220	7
121	2353	20
1998	641	8
27617	7612	6
12	713	15
104	4611	2
2881	8938	3
952	9535	3
335	4810	15
421	2332	16
440	3149	33
113	3052	1
57	8953	0
24432	9444	22
102	8129	21
14	2483	33
35646	4705	11
154	3007	2
154	158	7
2842	2737	24
12	9806	2
102	1161	4
203	8233	34
157	3059	11
107	8624	9
106	2271	15
220	5098	31
14181	7891	10
101	3374	8
18072	3691	1
106	7837	5
14	6499	14
9	418	5
14	9614	14
133	7773	22
103	6698	7
57	3058	0
12	9706	8
10327	9182	10
955	8427	11
298	4702	19
12592	5212	6
106	1940	2
2473	6258	10
101	7942	10
29150	6029	9
101	613	5
997	5679	4
646	9026	10
17185	7232	10
31608	5964	12
1084	6502	26
244	2960	20
1468	7050	9
225	8336	12
656	3064	25
8417	9842	1
20476	3154	0
13456	3191	19
3670	8965	2
161	4696	1
106	9890	34
5863	7040	10
20341	616	7
472	4352	4
237	8356	17
350	1328	3
107	9200	11
9203	5506	14
170	3774	0
118	9803	2
393	7373	10
3336	1925	3
109	8355	32
461	4395	25
8202	5370	19
12619	9358	10
29790	3661	12
108	5080	16
14	5673	23
106	1207	10
845	1452	20
6553	8353	9
129	2882	7
14	7722	14
103	485	20
2586	5241	15
214	9741	13
14	3651	26
14	6145	16
330	468	28
105	3808	3
288	4516	5
337	2799	12
2608	6723	2
211	3621	15
8729	2047	2
190	3798	13
104	7010	5
152	6331	4
3362	3782	24
123	3593	35
1279	5265	1
652	6160	8
512	6007	10
976	3399	15
26868	8282	0
421	7576	14
146	3437	13
1177	3	23
376	6729	5
129	1251	6
114	3115	11
31392	4842	11
189	8597	26
13623	1701	29
12	2278	14
111	9023	8
12086	9732	2
10719	7143	0
111	8146	8
103	6727	9
105	6216	5
276	3799	15
338	769	21
18423	1882	0
133	5364	1
160	2839	0
11345	2656	21
10849	4463	4
3217	2694	5
12	6955	16
764	3355	2
962	2929	11
228	1012	16
26360	1454	17
113	6447	27
3821	5209	6
9567	2036	8
12	3659	6
149	2652	5
12	5350	11
20766	3812	0
14	1871	19
4931	2417	17
106	6684	21
101	7688	14
5654	9622	21
12	8555	24
5757	9595	2
104	6926	31
2573	3822	4
200	6807	3
125	8153	15
102	8738	17
129	5876	41
271	4510	3
942	175	7
8291	7149	16
1058	5279	0
11639	6111	15
116	9804	13
12225	2037	11
103	2728	11
613	7051	27
899	4169	17
115	2733	11
1093	5500	4
12	677	21
117	9568	22
12	3658	18
149	2653	17
14770	7856	15
663	4853	22
101	9423	4
38092	3454	15
19199	6782	12
103	7850	3
219	1384	5
8	8171	10
190	5619	18
113	39	8
107	3061	15
18785	8333	16
104	5637	16
4095	535	12
14	4941	27
131	9103	15
112	7486	0
12775	4438	11
33242	1706	4
1285	898	7
1102	874	1
647	4993	9
8064	1767	17
101	5993	9
3102	2705	40
1488	3466	4
1089	9161	41
203	6558	23
