2561	12	9	49.3
184	165	3	8.62
101	5396	3	13.84
954	109	4	15.39
106	752	14	65.19
846	102	18	90.16
101	3359	4	13.62
774	119	17	139.55
2381	249	3	32.05
444	102	24	98.65
116	2636	8	77.1
106	2599	3	11.93
141	1127	3	19.4
4728	500	3	43.26
105	359	5	5.02
105	425	10	24.92
1283	105	4	11.14
5029	157	3	32.46
105	529	14	50.3
582	14	7	8.62
476	120	3	10.06
1653	14	4	8.48
192	131	10	40.09
108	126	28	40.33
108	220	6	9.41
2544	1056	7	116.71
12	1722	5	12.09
148	1131	4	28.76
430	12	7	5.01
101	2383	3	6.13
102	6460	3	17.49
1649	292	4	43.94
699	353	4	38.42
2394	12	4	10.99
2	173	6	11.97
207	130	3	6.34
315	104	9	14.36
112	289	4	7.66
135	146	22	99.8
166	1176	3	22.23
102	569	12	36.18
744	836	3	32.49
3647	103	3	12.98
426	103	6	8.15
3868	911	5	84.56
101	859	7	11.8
811	14	6	9.18
289	108	4	6.22
118	151	8	13.43
103	2542	3	10.47
105	1495	7	30.43
110	593	3	7.19
3416	2753	6	120.57
105	227	25	67.24
3443	662	7	121.48
265	220	3	16.64
169	105	11	4.06
3601	14	3	9.87
969	108	5	21.83
4372	107	3	19.82
142	396	3	13.39
12	628	10	18.31
106	1007	3	6.16
105	5149	4	25.9
191	109	7	8.87
651	113	3	9.55
3840	154	3	28.88
102	1341	7	25.96
791	305	3	26.86
105	736	8	24.34
105	684	8	23.48
2319	12	11	68.09
270	107	4	5.28
109	1535	5	27.03
12	5109	3	12.02
145	3533	3	28.05
101	7436	3	18.24
107	713	3	7.9
853	103	3	4
2871	101	3	7.37
1515	185	3	25.29
587	185	4	27.91
232	103	8	5.28
114	1848	3	16.67
443	147	4	21.4
106	545	5	9.35
178	176	39	321.42
112	680	3	9.07
2375	276	3	33.03
6416	101	3	13.84
235	135	3	8.56
12	1599	4	7.41
57	516	9	43.85
971	114	3	12.97
12	1463	6	15.34
102	2180	7	35.14
126	193	11	41.1
3012	12	4	12.86
2094	12	9	40.03
3652	115	3	22.12
1177	12	4	5.26
108	673	3	7.87
117	303	4	11.72
2112	107	3	14.23
1940	12	4	8.93
316	119	3	7.66
246	102	21	46.81
1302	102	3	5.65
228	487	3	21.07
101	231	61	195.91
13	851	3	23.5
755	109	4	13.6
453	5502	3	45.15
1951	102	3	7.96
153	169	6	20.28
1192	14	8	23.26
101	3048	3	8.15
2735	133	3	24.38
1181	103	3	5.51
749	898	4	46.71
162	204	6	28.74
106	1511	5	19.03
3633	694	5	78.67
149	266	4	16.48
102	1929	9	47.82
474	110	5	14.86
105	4381	4	23.31
119	615	5	23.97
137	135	14	46.6
155	120	37	174.5
106	164	22	31.44
849	12	5	5.97
287	119	5	16.27
181	142	5	14.99
171	428	3	16.43
870	102	3	3.84
477	755	3	29.41
101	1423	9	29.42
137	177	3	5.34
453	869	28	464.34
103	1163	3	5.51
137	291	4	16.09
101	1420	4	6.23
101	1592	5	10.98
110	567	10	47.02
447	101	8	7.21
970	106	3	5.95
130	204	5	15.1
181	299	8	54.99
217	259	3	15.93
131	857	3	16.07
1115	103	4	9.14
186	1174	4	34
101	204	21	15.85
514	288	3	23.45
102	2456	8	45.76
117	153	5	4.88
218	123	14	64.59
101	4982	3	11.71
127	2415	3	21.3
548	104	6	11.17
106	1528	4	13.79
113	573	3	8.89
662	104	39	286.08
129	280	3	7.97
2292	12	3	5.91
1406	104	3	6.86
105	3190	3	12.78
3506	8	4	38.2
677	105	9	28.6
101	498	11	16.87
2410	101	3	6.13
101	574	7	7.15
452	2612	4	52.81
101	454	9	9.96
282	186	5	29.53
102	4372	3	13.77
2173	14	3	6.36
563	4744	3	44
146	608	3	15.89
236	507	4	31.34
880	114	12	86.15
213	384	7	56.62
3036	103	4	18.89
422	110	4	9.46
859	120	4	20.27
1791	161	11	129.33
131	738	3	14.99
278	14	13	12.26
223	114	4	7.17
105	783	5	11.43
101	6146	3	13.84
106	562	7	17.69
132	253	10	51.41
953	107	3	9.48
520	102	9	20.47
116	1047	5	29.14
1332	104	3	6.57
216	104	26	64.53
286	117	4	11
103	3201	4	18.89
110	642	5	17.73
1013	408	3	30.34
105	4994	3	16.5
107	105	155	189.16
112	1608	3	14.06
138	133	16	58.01
380	169	5	31.19
2612	14	3	7.47
380	14	10	11.54
1438	14	4	7.17
106	1024	5	15.15
604	106	4	6.55
527	106	4	5.71
103	826	3	3.85
2719	14	3	7.47
173	316	5	29.57
1728	12	5	12.09
109	675	8	36.85
101	1012	7	14.14
8059	102	3	21.93
101	908	19	79.17
317	117	13	70.17
3397	3069	6	123.03
595	102	6	10.57
218	617	3	21.95
622	132	3	14.31
294	122	4	11.9
734	12	10	21.22
57	2521	3	18.14
2598	12	3	7
101	831	7	11.39
57	4497	3	23.56
2723	102	3	10.08
112	514	3	7.46
553	114	4	15.01
1605	14	4	8.01
101	8368	3	18.24
12	1757	7	23.34
251	101	20	23.02
104	3357	3	12.35
103	909	5	11.75
1449	1317	3	39.92
106	2042	4	16.14
397	382	3	24.18
101	2612	3	6.71
564	368	3	25.99
145	275	7	36.85
105	4909	4	25.9
105	4805	5	38.58
102	1504	5	15.97
738	106	3	4.34
619	107	4	11.56
187	152	4	12.12
879	130	7	50.3
991	104	3	4.97
3140	111	8	79.24
438	119	3	9.62
105	578	5	8.7
105	442	4	4.06
2627	12	4	11.85
121	165	9	21.89
657	1534	8	115.55
3328	104	5	27.39
101	2038	4	9.15
194	436	3	18.22
298	101	27	58.63
135	121	61	310.88
145	456	4	21.51
101	4399	3	10.22
140	862	3	17.55
121	1185	5	30.99
2689	12	3	7
2344	115	3	18.83
101	953	11	31.03
1453	1309	3	39.92
6853	698	3	52.05
105	323	8	12.63
171	711	4	28.37
131	226	13	69.13
993	860	4	48.6
5643	5507	4	95.09
116	862	3	13.17
169	134	3	4.85
268	2532	8	112.36
7247	2759	3	61.59
239	200	5	29.35
329	101	15	21.02
107	214	18	60.08
102	1299	3	5.65
308	105	5	3.88
174	110	48	215.64
274	884	4	37.65
473	114	3	8.82
2639	14	4	12.5
1785	14	4	8.99
7109	662	3	51.73
86	105	8	4.69
2030	101	4	9.15
1914	108	6	37.81
427	14	8	8
105	455	5	7.06
102	5916	3	17.49
111	221	5	8.11
3527	12	3	9.38
167	3675	3	30.51
2412	12	3	6.42
1631	136	4	30.88
1667	102	4	11.88
111	127	23	33.94
12	2202	5	15.3
222	152	4	15.2
12	2338	7	29.28
105	1167	3	6.19
108	210	7	11.67
407	107	6	17.62
16	173	5	13.33
240	117	6	18.11
3532	208	7	100.64
108	140	11	8.86
105	1339	4	11.53
103	4400	3	14.17
2807	12	3	7.67
203	109	5	5.36
106	3391	4	22.4
1617	12	5	12.09
101	834	13	37.69
7035	12	3	18.57
4550	6	5	79.62
104	2022	3	9.12
102	6230	3	17.49
102	116	270	899.92
110	3649	3	19.01
103	1036	3	4.87
12	1624	4	7.88
129	913	5	30.85
458	14	8	9.05
145	206	4	13.04
101	327	22	45.37
414	172	4	24.23
4089	14	3	11.03
117	198	4	6.73
856	14	6	9.84
492	109	7	25.56
114	788	7	39.37
2126	102	4	13.67
279	258	3	18.07
123	240	3	5.95
12	403	20	49.06
8200	104	3	22.7
103	1140	3	5.28
1024	12	6	10.9
3109	107	4	26.44
379	139	3	12.69
2753	6	5	67.26
7286	104	3	22.7
639	162	3	18.43
181	124	15	58.07
147	129	10	23.8
111	674	3	9.06
362	275	11	107.52
104	558	6	11.17
101	1291	5	8.92
119	2253	4	28.62
2118	710	3	38.01
149	2707	4	36.87
3587	101	4	15.05
102	3606	5	28.29
122	264	3	6.57
373	233	3	19.85
57	1316	8	53.98
12	158	47	52.29
614	104	5	8.47
102	1704	5	17.26
358	130	3	10.81
245	582	24	299.46
647	104	11	36.94
101	2820	7	33.23
214	12	22	22.11
4452	12	3	10.53
105	5294	4	30.87
436	227	3	20.49
127	1022	4	23.35
139	186	5	15.13
408	150	3	13.91
101	527	11	18.02
8	754	3	15.49
17	101	7	3.96
102	2334	4	15.19
128	999	8	58.83
960	106	3	5.76
446	245	7	62.45
103	183	37	82.84
333	106	5	5.42
150	177	9	37.3
12	3708	3	9.38
929	12	28	173.37
101	480	28	98.07
158	128	38	208.19
139	219	3	8.51
109	256	6	11.43
102	3587	7	51.18
1081	644	3	33.24
105	737	4	6.93
205	132	4	10.94
477	7219	3	49.87
264	568	3	23.3
159	158	6	20.6
101	1122	12	40.88
133	142	5	8.63
146	778	4	25.67
270	119	5	15.34
105	2386	3	10.6
112	2084	3	15.8
798	101	10	22.58
114	1649	5	32.85
124	638	3	12.21
6368	101	3	13.84
143	531	4	22.29
102	1908	3	7.96
102	2112	3	8.41
364	261	3	20.32
603	278	4	34.49
137	145	9	25.33
1322	114	3	14.83
105	994	4	9.19
171	405	3	16.24
1841	2424	3	45.14
102	3332	4	18.36
104	205	9	5.36
1116	102	14	70.3
182	12	19	6.02
117	113	96	376.6
461	104	4	3.84
3196	208	5	61.24
288	195	3	15.82
105	1679	3	8.26
4	5317	4	48.63
1518	8	4	29.26
1051	12	5	7.78
827	104	3	4.12
101	279	42	122.22
102	625	4	4.67
172	129	5	9.58
1491	101	8	24.89
189	159	6	24.83
933	103	3	4.49
101	733	12	28.79
703	531	4	41.66
476	106	5	8.19
5721	200	3	38.2
889	108	8	41.32
102	3147	5	26.13
108	101	219	142.06
140	758	4	24.79
1822	14	3	5.1
627	12	6	5.81
173	476	3	17.19
4084	104	3	14.52
145	307	6	32.01
6164	102	4	29.24
339	107	3	4.11
128	156	23	98.43
2890	102	4	17.14
234	104	7	4.05
102	130	26	6.77
167	254	13	92.23
101	8342	3	18.24
1282	2162	3	42.33
119	307	3	7.54
1587	102	3	6.82
106	797	3	4.91
125	623	3	12.59
107	589	6	21.57
505	159	4	24.48
204	118	4	7.35
421	114	60	616.69
252	411	24	280.75
1019	105	8	30.41
111	188	8	13.99
1703	106	3	8.93
105	408	5	6.13
731	241	3	23.91
5315	14	4	25.45
180	126	7	18.16
2988	108	3	17.04
388	106	5	6.58
1583	14	3	4.43
115	155	16	42.66
12	2506	3	7
196	209	3	12.93
897	105	3	4.97
105	161	25	35.8
265	101	14	11.04
105	306	5	3.88
4718	104	3	16.06
226	109	7	13.31
748	12	11	26.09
6075	102	3	17.49
352	12	8	4.94
1847	102	13	83.39
107	134	29	60.87
239	111	4	5.87
4335	102	6	43.87
3118	111	7	63.31
2630	102	4	16.1
